id,actor_slug,system,source_kind,source_url,dimension,signal_type,inserted_at,observed_at,confidence,defense_engagement,defense_ambivalence
f90afd54-0522-4a76-aaaa-7be64cbe7e19,qnami,masfactory,website,https://qnami.ch/newsletter-collection/,educational_outreach,legitimacy,2026-07-01 04:19:00.394118+00:00,,0.85,False,False
4f1ae80d-5b7a-4419-962f-234e2c8a212a,ionq,masfactory,manual,https://investors.ionq.com/news/news-details/2026/IonQ-Introduces-Clavis-XG-Multiplex-Making-Quantum-Security-Deployable-at-Scale-in-Metro-Networks/default.aspx,milestones,future_trajectory,2026-07-01 04:19:00.394118+00:00,,0.9,False,False
de16857d-56e6-4780-9658-e04ac71a4d1d,ionq,masfactory,news,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a44759fe7664a7984f28ef08df34547&url=https%3a%2f%2fseekingalpha.com%2farticle%2f4862649-ionq-inc-ionq-m-and-a-call-transcript&c=18143702768628912734&mkt=de-de,industry_partnerships,community_ecosystem,2026-07-01 04:19:00.394118+00:00,,0.7,False,False
e2f00a88-2046-4fa6-90bc-383d2087fe1b,fhnw,masfactory,website,https://www.fhnw.ch/de/aktuelles/news-storys,leadership_expertise,legitimacy,2026-07-01 04:41:27.103537+00:00,,0.95,False,False
b925b299-4258-4ed0-8b66-99e3df4f4d70,ionq,masfactory,news,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a447592246645bd9cda9cc05dcb5b38&url=https%3a%2f%2fseekingalpha.com%2farticle%2f4862649-ionq-inc-ionq-m-and-a-call-transcript&c=18143702768628912734&mkt=de-de,industry_partnerships,community_ecosystem,2026-07-01 04:41:27.103537+00:00,,0.7,False,False
1fbb78ee-d00c-4b42-a185-a9f55cc38438,fhnw,masfactory,website,https://www.fhnw.ch/,academic_partnerships,community_ecosystem,2026-07-01 04:41:27.103537+00:00,,0.85,False,False
80cee807-7a2c-4157-97b1-39869cb343e2,fhnw,masfactory,website,https://www.fhnw.ch/en/news-events/news-stories,educational_outreach,legitimacy,2026-07-01 04:41:27.103537+00:00,,0.85,False,False
96fa42d0-0c87-4d93-966b-84430c49ff44,nccr-spin,hermes,website,https://qudev.phys.ethz.ch/nccr_spin,leadership_credentials,legitimacy,2026-07-01 05:14:02.925377+00:00,2026-03-19 00:00:00+00:00,0.7,False,False
87772c7f-27df-4d68-a6fa-a410319750a6,nccr-spin,hermes,website,https://www.snf.ch/en/7zxL0ygtXFDuDCSe/page/nccr/spin,funding_event,legitimacy,2026-07-01 05:14:02.925377+00:00,2024-01-01 00:00:00+00:00,0.75,False,False
4f1226d8-7abf-4cd4-ba24-6700ad8735bd,nccr-spin,hermes,website,https://www.nccr-spin.ch/industry-internship-grant,industry_partnership,customer_cocreation,2026-07-01 05:14:02.925377+00:00,2026-04-01 00:00:00+00:00,0.7,False,False
4bb9fdde-c1d3-4a5d-b5f5-ae983ff159dc,nccr-spin,hermes,website,https://www.nccr-spin.ch/publications,publication,legitimacy,2026-07-01 05:14:02.925377+00:00,2026-02-01 00:00:00+00:00,0.85,False,False
887a7f54-d48e-45f5-b799-50da0a388419,nccr-spin,hermes,website,https://www.nccr-spin.ch/publications,publication,legitimacy,2026-07-01 05:14:02.925377+00:00,2026-01-01 00:00:00+00:00,0.85,False,False
994e6118-f371-4d39-8901-ef143aa6f526,nccr-spin,hermes,news,https://www.linkedin.com/posts/nccr-spin_quantumcomputing-sps2026-nccrspin-activity-7451955177533792256-OLFX,conference_organization,community_ecosystem,2026-07-01 05:14:02.925377+00:00,2026-06-01 00:00:00+00:00,0.6,False,False
f8403cf8-85d8-4ff0-84d9-00ef892e1783,nccr-spin,hermes,website,https://static1.squarespace.com/static/5fca0f9a0d28ee679b50ab54/t/6964c15e08dd6a3366dcfcc3/1768210782347/20260109_WinterSchool2026_Program.pdf,young_researcher_training,community_ecosystem,2026-07-01 05:14:02.925377+00:00,2026-01-19 00:00:00+00:00,0.7,False,False
e672a36a-19d9-49b0-a1a6-bdf73b431a81,nccr-spin,hermes,website,https://www.nccr-spin.ch/news/nccr-spin-annual-meeting-2026-science-innovation-and-collaboration-in-pontresina,annual_meeting,community_ecosystem,2026-07-01 05:14:02.925377+00:00,2026-06-03 00:00:00+00:00,0.75,False,False
75df1b02-9f62-47fd-9e4b-6399845a2533,nccr-spin,hermes,arxiv,https://arxiv.org/abs/2602.09179,publication,legitimacy,2026-07-01 05:14:02.925377+00:00,2026-02-14 00:00:00+00:00,0.8,False,False
923765e0-01b3-4598-8a02-2388f12d44b9,metas,hermes,website,https://www.metas.ch/metas/en/home/fabe/hochfrequenz/projects.html,lab_opening,future_trajectory,2026-07-01 05:23:02.388621+00:00,2026-04-24 00:00:00+00:00,0.85,False,False
0f181969-0704-420b-ac24-85dd74607712,metas,hermes,website,https://www.rhf.admin.ch/metas/en/home/fue/quantenkompetenzzentrum.html,infrastructure_development,future_trajectory,2026-07-01 05:23:02.388621+00:00,2026-05-13 00:00:00+00:00,0.85,False,False
0cb546d4-5a8a-45bc-a445-37af80fbe739,metas,hermes,news,https://ggba.swiss/en/switzerlands-guardian-of-measurement-steps-into-the-quantum-era,strategic_positioning,future_trajectory,2026-07-01 05:23:02.388621+00:00,2026-05-01 00:00:00+00:00,0.75,False,False
ad60d2b5-05d2-474b-be3e-7777c4254c7b,basel-quantum-center,hermes,website,https://bqc.unibas.ch/en/news/details/industry-night-2026/,industry_engagement,community_ecosystem,2026-07-01 05:34:44.886565+00:00,2026-04-24 00:00:00+00:00,0.85,False,False
d69a542f-d19f-4090-addb-5d39a6257a9b,basel-quantum-center,hermes,website,https://bqc.unibas.ch/en/news/details/tunbasel-2026-1/,outreach,community_ecosystem,2026-07-01 05:34:44.886565+00:00,2026-03-15 00:00:00+00:00,0.78,False,False
c15857b1-ca8f-4f72-a484-59dca0136960,basel-quantum-center,hermes,website,https://bqc.unibas.ch/en/event/details/quantum-industry-chat-and-upquantval-conference/,conference_organization,community_ecosystem,2026-07-01 05:34:44.886565+00:00,2026-07-01 00:00:00+00:00,0.82,False,False
c86f0876-481d-42a5-98cf-40ceeffa0182,basel-quantum-center,hermes,arxiv,https://arxiv.org/html/2606.20123,publication,legitimacy,2026-07-01 05:34:44.886565+00:00,2026-06-25 00:00:00+00:00,0.88,False,False
dea71da0-e6dc-4fbf-98e6-a6087d8ac6b5,basel-quantum-center,hermes,arxiv,https://arxiv.org/html/2603.29971v1,publication,legitimacy,2026-07-01 05:34:44.886565+00:00,2026-03-31 00:00:00+00:00,0.92,False,False
e0046a44-0943-4938-a1f8-2b879aa6a49e,basel-quantum-center,hermes,website,https://www.snf.ch/en/N01wa8jzDaYFaPca/news/swiss-quantum-call-2026,funding_event,legitimacy,2026-07-01 05:34:44.886565+00:00,2026-01-15 00:00:00+00:00,0.75,False,False
c5aec2ad-8d46-4b89-a5b5-40c09eb2bc7d,basel-quantum-center,hermes,website,https://bqc.unibas.ch/en/news/details/acs-nano-impact-award-for-publication-on-controllable-quantum-effects/,award_recognition,legitimacy,2026-07-01 05:34:44.886565+00:00,2026-06-09 00:00:00+00:00,0.88,True,False
927a1c0a-2379-4153-b078-093b51a9847a,basel-quantum-center,hermes,website,https://bqc.unibas.ch/en/news/details/our-bqc-mission-clip-is-out-now/,strategic_positioning,community_ecosystem,2026-07-01 05:34:44.886565+00:00,2026-03-03 00:00:00+00:00,0.85,False,False
8747805f-1fa4-4851-9c8a-41034b9ceb0b,basel-quantum-center,hermes,website,https://portal-cdn.scnat.ch/asset/82ad4e80-2106-5371-9cb6-9db2b9c959c8/COM_Quantum_Strategy_online.pdf,strategic_positioning,community_ecosystem,2026-07-01 05:34:44.886565+00:00,2026-01-01 00:00:00+00:00,0.92,False,False
462fed8b-6153-4719-a95f-3c6bc3319836,swiss-nanoscience-institute,hermes,website,https://nano.swiss/news/acs-nano-impact-award-fuer-veroeffentlichung-ueber-steuerbare-quanteneffekte,award_recognition,legitimacy,2026-07-01 05:39:05.200423+00:00,2026-06-09 00:00:00+00:00,0.9,False,False
9091bfd7-b12e-4210-9228-21928868fb25,swiss-nanoscience-institute,hermes,website,https://nanoscience.unibas.ch/en/news/details/quanten-startup-yquantum-erhaelt-anschubfinanzierung,spinout_funding,customer_cocreation,2026-07-01 05:39:05.200423+00:00,2025-11-10 00:00:00+00:00,0.85,False,False
e5a505d4-9695-4020-9316-ac342d85014b,swiss-nanoscience-institute,hermes,website,https://nanoscience.unibas.ch/en/forschungs-news/p/5628/2,publication,legitimacy,2026-07-01 05:39:05.200423+00:00,2025-11-25 00:00:00+00:00,0.75,False,False
2948140a-6980-4e95-af12-a2a29036330f,swiss-nanoscience-institute,hermes,website,https://nanoscience.unibas.ch/en/forschungs-news/p/5628/2,publication,legitimacy,2026-07-01 05:39:05.200423+00:00,2025-11-17 00:00:00+00:00,0.75,False,False
5577f691-292a-4fd5-9926-4e771e6460c5,swiss-nanoscience-institute,hermes,website,https://nanoscience.unibas.ch/en/forschungs-news/p/5628/2,technological_advance,future_trajectory,2026-07-01 05:39:05.200423+00:00,2025-08-18 00:00:00+00:00,0.7,False,False
36ed66e3-63b5-43be-a240-fe05ada29069,swiss-nanoscience-institute,hermes,website,https://nanoscience.unibas.ch/en/ueber-uns/menschen/ehrungen,funding_event,legitimacy,2026-07-01 05:39:05.200423+00:00,2025-09-04 00:00:00+00:00,0.85,False,False
feb8a5a1-ef0d-4e48-aec5-0cc7229a8dbd,swiss-nanoscience-institute,hermes,website,https://nanoscience.unibas.ch/en/forschung/angewandte-forschung/argovia-projects-2025,consortium_funding,community_ecosystem,2026-07-01 05:39:05.200423+00:00,2025-01-01 00:00:00+00:00,0.8,False,False
58b4001e-1913-4f81-a763-4c318a04d985,swiss-nanoscience-institute,hermes,website,https://nanoscience.unibas.ch/en/forschung/angewandte-forschung/argovia-projects-2025,consortium_membership,community_ecosystem,2026-07-01 05:39:05.200423+00:00,2025-01-01 00:00:00+00:00,0.7,False,False
9b632660-01b8-48f6-918b-52d54543f1ab,empa,hermes,website,https://www.empa.ch/web/s604/carboquant-wss,funding_event,legitimacy,2026-07-01 06:33:43.041480+00:00,2025-01-30 00:00:00+00:00,0.85,True,False
d7efae1d-df5c-4795-a1fb-64cd4e105ce0,empa,hermes,website,https://www.empa.ch/web/s604/caboquant-lab-inauguration,funding_event,legitimacy,2026-07-01 06:33:43.041480+00:00,2025-01-30 00:00:00+00:00,0.75,False,False
2a1f9aab-c1c0-4ef3-a561-6a455b228c86,empa,hermes,website,https://www.empa.ch/web/s604/caboquant-lab-inauguration,lab_infrastructure_opening,future_trajectory,2026-07-01 06:33:43.041480+00:00,2025-01-30 00:00:00+00:00,0.9,False,False
6ad6c4f2-1a14-49bc-8b3f-fe50ebb963c0,empa,hermes,website,https://www.empa.ch/web/s604/nature-superfluorescence,joint_publication,community_ecosystem,2026-07-01 06:33:43.041480+00:00,2025-01-01 00:00:00+00:00,0.65,False,False
